27.0,1.0,1=0.414,0=0.586
44.0,1.0,1=0.309,0=0.691
48.0,1.0,1=0.313,0=0.687
58.0,1.0,1=0.261,0=0.739
61.0,1.0,1=0.424,0=0.576
62.0,1.0,1=0.480,0=0.520
68.0,1.0,1=0.497,0=0.503
70.0,1.0,1=0.493,0=0.507
72.0,1.0,1=0.502,0=0.498
85.0,1.0,1=0.709,0=0.291
90.0,1.0,1=0.560,0=0.440
113.0,1.0,1=0.688,0=0.312
114.0,1.0,1=0.688,0=0.312
117.0,1.0,1=0.976,0=0.024
118.0,1.0,1=0.969,0=0.031
119.0,1.0,1=0.976,0=0.024
120.0,1.0,1=0.975,0=0.025
121.0,1.0,1=0.969,0=0.031
122.0,1.0,1=0.975,0=0.025
123.0,1.0,1=0.986,0=0.014
124.0,1.0,1=0.969,0=0.031
125.0,1.0,1=0.986,0=0.014
138.0,1.0,1=0.745,0=0.255
153.0,1.0,1=0.703,0=0.297
158.0,1.0,1=0.587,0=0.413
189.0,1.0,1=0.301,0=0.699
190.0,1.0,1=0.257,0=0.743
195.0,1.0,1=0.381,0=0.619
226.0,1.0,1=0.543,0=0.457
227.0,1.0,1=0.911,0=0.089
228.0,1.0,1=0.232,0=0.768
231.0,1.0,1=0.237,0=0.763
237.0,1.0,1=0.553,0=0.447
238.0,1.0,1=0.868,0=0.132
241.0,1.0,1=0.199,0=0.801
246.0,1.0,1=0.415,0=0.585
251.0,1.0,1=0.238,0=0.762
252.0,1.0,1=0.228,0=0.772
257.0,1.0,1=0.458,0=0.542
261.0,1.0,1=0.707,0=0.293
262.0,1.0,1=0.944,0=0.056
299.0,1.0,1=0.550,0=0.450
300.0,1.0,1=0.938,0=0.062
316.0,1.0,1=0.550,0=0.450
317.0,1.0,1=0.960,0=0.040
346.0,1.0,1=0.067,0=0.933
347.0,1.0,1=0.138,0=0.862
348.0,1.0,1=0.071,0=0.929
373.0,1.0,1=0.281,0=0.719
383.0,1.0,1=0.127,0=0.873
397.0,1.0,1=0.301,0=0.699
398.0,1.0,1=0.787,0=0.213
400.0,1.0,1=0.448,0=0.552
405.0,1.0,1=0.301,0=0.699
409.0,1.0,1=0.694,0=0.306
410.0,1.0,1=0.694,0=0.306
414.0,1.0,1=0.412,0=0.588
415.0,1.0,1=0.906,0=0.094
425.0,1.0,1=0.498,0=0.502
426.0,1.0,1=0.498,0=0.502
432.0,1.0,1=0.728,0=0.272
433.0,1.0,1=0.728,0=0.272
434.0,1.0,1=0.728,0=0.272
435.0,1.0,1=0.728,0=0.272
436.0,1.0,1=0.257,0=0.743
437.0,1.0,1=0.217,0=0.783
438.0,1.0,1=0.179,0=0.821
439.0,1.0,1=0.671,0=0.329
472.0,1.0,1=0.300,0=0.700
476.0,1.0,1=0.292,0=0.708
500.0,1.0,1=0.086,0=0.914
521.0,1.0,1=0.207,0=0.793
535.0,1.0,1=0.110,0=0.890
536.0,1.0,1=0.186,0=0.814
583.0,1.0,1=0.340,0=0.660
584.0,1.0,1=0.340,0=0.660
593.0,1.0,1=0.114,0=0.886
602.0,1.0,1=0.165,0=0.835
603.0,1.0,1=0.136,0=0.864
612.0,1.0,1=0.119,0=0.881
613.0,1.0,1=0.105,0=0.895
638.0,1.0,1=0.306,0=0.694
639.0,1.0,1=0.320,0=0.680
640.0,1.0,1=0.306,0=0.694
641.0,1.0,1=0.320,0=0.680
645.0,1.0,1=0.538,0=0.462
646.0,1.0,1=0.950,0=0.050
653.0,1.0,1=0.538,0=0.462
654.0,1.0,1=0.937,0=0.063
704.0,1.0,1=0.694,0=0.306
705.0,1.0,1=0.694,0=0.306
708.0,1.0,1=0.877,0=0.123
709.0,1.0,1=0.632,0=0.368
727.0,1.0,1=0.688,0=0.312
728.0,1.0,1=0.688,0=0.312
731.0,1.0,1=0.959,0=0.041
732.0,1.0,1=0.959,0=0.041
739.0,1.0,1=0.296,0=0.704
743.0,1.0,1=0.694,0=0.306
744.0,1.0,1=0.694,0=0.306
747.0,1.0,1=0.987,0=0.013
748.0,1.0,1=0.980,0=0.020
749.0,1.0,1=0.987,0=0.013
750.0,1.0,1=0.969,0=0.031
751.0,1.0,1=0.980,0=0.020
752.0,1.0,1=0.969,0=0.031
753.0,1.0,1=0.990,0=0.010
754.0,1.0,1=0.980,0=0.020
755.0,1.0,1=0.990,0=0.010
756.0,1.0,1=0.986,0=0.014
757.0,1.0,1=0.980,0=0.020
758.0,1.0,1=0.986,0=0.014
759.0,1.0,1=0.982,0=0.018
760.0,1.0,1=0.980,0=0.020
761.0,1.0,1=0.982,0=0.018
762.0,1.0,1=0.990,0=0.010
763.0,1.0,1=0.980,0=0.020
764.0,1.0,1=0.990,0=0.010
766.0,1.0,1=0.764,0=0.236
767.0,1.0,1=0.764,0=0.236
787.0,1.0,1=0.679,0=0.321
788.0,1.0,1=0.679,0=0.321
791.0,1.0,1=0.990,0=0.010
792.0,1.0,1=0.967,0=0.033
793.0,1.0,1=0.990,0=0.010
794.0,1.0,1=0.991,0=0.009
795.0,1.0,1=0.967,0=0.033
796.0,1.0,1=0.991,0=0.009
804.0,1.0,1=0.615,0=0.385
805.0,1.0,1=0.968,0=0.032
819.0,1.0,1=0.095,0=0.905
844.0,1.0,1=0.823,0=0.177
845.0,1.0,1=0.935,0=0.065
850.0,1.0,1=0.433,0=0.567
851.0,1.0,1=0.873,0=0.127
856.0,1.0,1=0.433,0=0.567
857.0,1.0,1=0.874,0=0.126
863.0,1.0,1=0.539,0=0.461
864.0,1.0,1=0.880,0=0.120
868.0,1.0,1=0.545,0=0.455
869.0,1.0,1=0.922,0=0.078
