id	oracle
26	type == null
27	locale == null
28	pattern == null
29	pattern == null
1	thisMillis < otherMillis
2	thisMillis > otherMillis
3	duration == null
4	duration == null
5	duration == null
6	this == duration
7	duration instanceof ReadableDuration == false
8	(millis / 1000) * 1000 == millis
56	type == null
57	type == null
58	field == null
59	this == readableInstant
60	readableInstant instanceof ReadableInstant == false
61	this == other
62	thisMillis == otherMillis
63	thisMillis < otherMillis
64	formatter == null
87	end < start
88	instant == null
89	interval == null
90	interval == null
91	instant == null
92	interval == null
93	instant == null
94	interval == null
95	durMillis == 0
96	this == readableInterval
97	readableInterval instanceof ReadableInterval == false
9	getFieldType(i) == type
10	index == -1
11	getFieldType(i).getDurationType() == type
12	index == -1
13	this == partial
14	partial instanceof ReadablePartial == false
15	size() != other.size()
16	getFieldType(i) != other.getFieldType(i)
16	getValue(i) != other.getValue(i)
17	this == other
18	size() != other.size()
19	getFieldType(i) != other.getFieldType(i)
20	getValue(i) > other.getValue(i)
21	getValue(i) < other.getValue(i)
22	partial == null
23	partial == null
24	partial == null
25	formatter == null
1006	instant == null
1007	thisValue < otherValue
1008	thisValue > otherValue
1009	partial == null
1010	thisValue < otherValue
1011	thisValue > otherValue
1012	this == object
1013	object instanceof AbstractPartialFieldProperty == false
65	index == -1
66	this == period
67	period instanceof ReadablePeriod == false
68	size() != other.size()
69	getValue(i) != other.getValue(i)
69	getFieldType(i) != other.getFieldType(i)
70	formatter == null
996	instant == null
997	instant == null
998	instant == null
999	thisValue < otherValue
1000	thisValue > otherValue
1001	partial == null
1002	thisValue < otherValue
1003	thisValue > otherValue
1004	this == object
1005	object instanceof AbstractReadableInstantFieldProperty == false
350	(base = iBase) != null
351	(base = iBase) != null
351	(iBaseFlags & 6) == 6
352	(iBaseFlags & 5) == 5
352	(base = iBase) != null
353	(iBaseFlags & 1) == 1
353	(base = iBase) != null
354	iBase != null
355	iBase == null
224	value < field.getMinimumValue()
225	value > field.getMaximumValue()
226	value < field.getMinimumValue(partial, values)
227	value > field.getMaximumValue(partial, values)
228	startInstant != endInstant
229	duration != 0
230	field.isPrecise()
231	period != null
231	scalar != 0
232	value != 0
233	scalar == 0
233	duration == 0
949	type == null
950	valueToAdd == 0
951	proposed <= max
952	nextField == null
953	fieldIndex == 0
954	getRangeDurationField().getType() != nextField.getDurationField().getType()
955	proposed >= min
956	nextField == null
957	fieldIndex == 0
958	getRangeDurationField().getType() != nextField.getDurationField().getType()
959	valueToAdd == 0
960	proposed <= max
961	nextField == null
962	fieldIndex == 0
963	getRangeDurationField().getType() != nextField.getDurationField().getType()
964	proposed >= min
965	nextField == null
966	fieldIndex == 0
967	getRangeDurationField().getType() != nextField.getDurationField().getType()
968	values[i] > field.getMaximumValue(partial, values)
969	values[i] < field.getMinimumValue(partial, values)
970	max >= 0
971	max < 10
972	max < 100
973	max < 1000
974	newInstant != instant
975	diffFromFloor <= diffToCeiling
976	diffToCeiling <= diffFromFloor
977	diffFromFloor < diffToCeiling
978	diffToCeiling < diffFromFloor
979	(get(ceiling) & 1) == 0
50	start == end
985	type == null
986	thisMillis == otherMillis
987	thisMillis < otherMillis
51	start == null
51	end == null
52	period == null
53	period == null
54	converter.isReadableInterval(interval, chrono)
55	this instanceof ReadWritableInterval
30	pattern == null
31	pattern == null
32	startInstant == null
32	endInstant == null
33	end == null
33	start == null
34	start instanceof BaseLocal
34	end instanceof BaseLocal
34	start.getClass() == end.getClass()
35	start.size() != end.size()
36	start.getFieldType(i) != end.getFieldType(i)
37	DateTimeUtils.isContiguous(start) == false
38	this instanceof ReadWritablePeriod
39	index == -1
40	newValue != 0
41	period == null
42	index == -1
43	value != 0
43	field == null
44	index == -1
45	field == null
45	value != 0
46	period != null
47	period != null
48	value != 0
49	index == -1
71	start == null
71	end == null
72	end == null
72	start == null
73	start.size() != end.size()
74	start.getFieldType(i) != end.getFieldType(i)
75	DateTimeUtils.isContiguous(start) == false
76	period == null
77	value != 0
78	field.isPrecise() == false
79	index != 0
80	index != 0
81	type == getFieldType()
82	this == period
83	period instanceof ReadablePeriod == false
84	other.getClass() != getClass()
85	thisValue > otherValue
86	thisValue < otherValue
119	minDaysInFirstWeek < 1
119	minDaysInFirstWeek > 7
120	(base = getBase()) != null
121	(base = getBase()) != null
122	(base = getBase()) != null
123	this == obj
124	getClass() == obj.getClass()
124	obj != null
125	index >= 0
126	zone != null
127	getMinimumDaysInFirstWeek() != 4
128	jan1dayOfWeek > (8 - iMinDaysInFirstWeek)
129	i2 < 0
130	diff < 0
131	diff >= DateTimeConstants.MILLIS_PER_DAY * 365L
132	isLeapYear(year)
133	yearStart <= instant
134	week == 1
135	week > 51
136	instant < firstWeekMillis1
137	instant >= firstWeekMillis2
138	instant >= 0
139	daysSince19700101 < -3
140	instant >= 0
141	info.iYear != year
141	info == null
311	partial.isSupported(DateTimeFieldType.monthOfYear())
312	partial.isSupported(DateTimeFieldType.year())
313	partial.getFieldType(i) == DateTimeFieldType.monthOfYear()
314	partial.getFieldType(j) == DateTimeFieldType.year()
309	partial.isSupported(DateTimeFieldType.year())
310	partial.getFieldType(i) == DateTimeFieldType.year()
162	dayOfYear > 365
163	isLeapYear(year)
164	minuendRem < subtrahendRem
356	isLeapYear(year)
357	isLeapYear(year)
358	subtrahendRem >= FEB_29
359	isLeapYear(subtrahendYear)
360	isLeapYear(minuendYear)
361	isLeapYear(minuendYear)
361	minuendRem >= FEB_29
362	minuendRem < subtrahendRem
363	dayOfYear > (31 + 28)
364	isLeapYear(thisYear)
365	isLeapYear(year)
366	isLeapYear(year)
200	months == 0
201	monthToUse >= 0
202	remMonthToUse == 0
203	monthToUse == 1
204	dayToUse > maxDay
205	i_months == months
206	monthToUse >= 0
207	remMonthToUse == 0
208	monthToUse == 1
209	yearToUse > iChronology.getMaxYear()
209	yearToUse < iChronology.getMinYear()
210	dayToUse > maxDay
211	valueToAdd == 0
212	fieldIndex == 0
212	partial.getFieldType(0).equals(DateTimeFieldType.monthOfYear())
212	partial.size() > 0
213	DateTimeUtils.isContiguous(partial)
214	minuendInstant < subtrahendInstant
215	minuendDom == iChronology.getDaysInYearMonth(minuendYear, minuendMonth)
216	subtrahendDom > minuendDom
