id	oracle
25	type == null
26	locale == null
27	pattern == null
28	pattern == null
0	thisMillis < otherMillis
1	thisMillis > otherMillis
2	duration == null
3	duration == null
4	duration == null
5	this == duration
6	duration instanceof ReadableDuration == false
7	(millis / 1000) * 1000 == millis
55	type == null
56	type == null
57	field == null
58	this == readableInstant
59	readableInstant instanceof ReadableInstant == false
60	this == other
61	thisMillis == otherMillis
62	thisMillis < otherMillis
63	formatter == null
86	end < start
87	instant == null
88	interval == null
89	interval == null
90	instant == null
91	interval == null
92	instant == null
93	interval == null
94	durMillis == 0
95	this == readableInterval
96	readableInterval instanceof ReadableInterval == false
8	getFieldType(i) == type
9	index == -1
10	getFieldType(i).getDurationType() == type
11	index == -1
12	this == partial
13	partial instanceof ReadablePartial == false
14	size() != other.size()
15	getFieldType(i) != other.getFieldType(i)
15	getValue(i) != other.getValue(i)
16	this == other
17	size() != other.size()
18	getFieldType(i) != other.getFieldType(i)
19	getValue(i) > other.getValue(i)
20	getValue(i) < other.getValue(i)
21	partial == null
22	partial == null
23	partial == null
24	formatter == null
971	instant == null
972	thisValue < otherValue
973	thisValue > otherValue
974	partial == null
975	thisValue < otherValue
976	thisValue > otherValue
977	this == object
978	object instanceof AbstractPartialFieldProperty == false
64	index == -1
65	this == period
66	period instanceof ReadablePeriod == false
67	size() != other.size()
68	getValue(i) != other.getValue(i)
68	getFieldType(i) != other.getFieldType(i)
69	formatter == null
961	instant == null
962	instant == null
963	instant == null
964	thisValue < otherValue
965	thisValue > otherValue
966	partial == null
967	thisValue < otherValue
968	thisValue > otherValue
969	this == object
970	object instanceof AbstractReadableInstantFieldProperty == false
335	(base = iBase) != null
336	(base = iBase) != null
336	(iBaseFlags & 6) == 6
337	(iBaseFlags & 5) == 5
337	(base = iBase) != null
338	(base = iBase) != null
338	(iBaseFlags & 1) == 1
339	iBase != null
340	iBase == null
218	value < field.getMinimumValue()
219	value > field.getMaximumValue()
220	value < field.getMinimumValue(partial, values)
221	value > field.getMaximumValue(partial, values)
222	startInstant != endInstant
223	duration != 0
224	field.isPrecise()
225	scalar != 0
225	period != null
226	value != 0
227	scalar == 0
227	duration == 0
914	type == null
915	valueToAdd == 0
916	proposed <= max
917	nextField == null
918	fieldIndex == 0
919	getRangeDurationField().getType() != nextField.getDurationField().getType()
920	proposed >= min
921	nextField == null
922	fieldIndex == 0
923	getRangeDurationField().getType() != nextField.getDurationField().getType()
924	valueToAdd == 0
925	proposed <= max
926	nextField == null
927	fieldIndex == 0
928	getRangeDurationField().getType() != nextField.getDurationField().getType()
929	proposed >= min
930	nextField == null
931	fieldIndex == 0
932	getRangeDurationField().getType() != nextField.getDurationField().getType()
933	values[i] > field.getMaximumValue(partial, values)
934	values[i] < field.getMinimumValue(partial, values)
935	max >= 0
936	max < 10
937	max < 100
938	max < 1000
939	newInstant != instant
940	diffFromFloor <= diffToCeiling
941	diffToCeiling <= diffFromFloor
942	diffFromFloor < diffToCeiling
943	diffToCeiling < diffFromFloor
944	(get(ceiling) & 1) == 0
49	start == end
950	type == null
951	thisMillis == otherMillis
952	thisMillis < otherMillis
50	start == null
50	end == null
51	period == null
52	period == null
53	converter.isReadableInterval(interval, chrono)
54	this instanceof ReadWritableInterval
29	pattern == null
30	pattern == null
31	startInstant == null
31	endInstant == null
32	end == null
32	start == null
33	start.getClass() == end.getClass()
33	end instanceof BaseLocal
33	start instanceof BaseLocal
34	start.size() != end.size()
35	start.getFieldType(i) != end.getFieldType(i)
36	DateTimeUtils.isContiguous(start) == false
37	this instanceof ReadWritablePeriod
38	index == -1
39	newValue != 0
40	period == null
41	index == -1
42	value != 0
42	field == null
43	index == -1
44	field == null
44	value != 0
45	period != null
46	period != null
47	value != 0
48	index == -1
70	end == null
70	start == null
71	end == null
71	start == null
72	start.size() != end.size()
73	start.getFieldType(i) != end.getFieldType(i)
74	DateTimeUtils.isContiguous(start) == false
75	period == null
76	value != 0
77	field.isPrecise() == false
78	index != 0
79	index != 0
80	type == getFieldType()
81	this == period
82	period instanceof ReadablePeriod == false
83	other.getClass() != getClass()
84	thisValue > otherValue
85	thisValue < otherValue
118	minDaysInFirstWeek < 1
118	minDaysInFirstWeek > 7
119	(base = getBase()) != null
120	(base = getBase()) != null
121	(base = getBase()) != null
122	index >= 0
123	zone != null
124	getMinimumDaysInFirstWeek() != 4
125	jan1dayOfWeek > (8 - iMinDaysInFirstWeek)
126	i2 < 0
127	diff < 0
128	diff >= DateTimeConstants.MILLIS_PER_DAY * 365L
129	isLeapYear(year)
130	yearStart <= instant
131	week == 1
132	week > 51
133	instant < firstWeekMillis1
134	instant >= firstWeekMillis2
135	instant >= 0
136	daysSince19700101 < -3
137	instant >= 0
138	info.iYear != year
138	info == null
