id	oracle
5906	margin == null
5907	frame == null
5908	padding == null
5909	bounds == null
5910	c == null
5911	c.equals(RectangleConstraint.NONE)
5912	r == null
5913	r.getLowerBound() > 0.0
5914	r.getUpperBound() < Double.POSITIVE_INFINITY
5915	r == null
5916	r.getLowerBound() > 0.0
5917	r.getUpperBound() < Double.POSITIVE_INFINITY
5918	obj == this
5919	obj instanceof AbstractBlock
5920	ObjectUtilities.equal(this.id, that.id)
5921	this.frame.equals(that.frame)
5922	this.bounds.equals(that.bounds)
5923	this.margin.equals(that.margin)
5924	this.padding.equals(that.padding)
5925	this.height != that.height
5926	this.width != that.width
5927	this.frame instanceof PublicCloneable
1946	labelFormat == null
1947	formatter == null
1948	percentFormatter == null
1949	labelFormat == null
1950	formatter == null
1951	dataset == null
1952	value != null
1953	this.numberFormat != null
1954	this.dateFormat != null
1955	value != null
1956	obj == this
1957	obj instanceof AbstractCategoryItemLabelGenerator
1958	this.labelFormat.equals(that.labelFormat)
1959	ObjectUtilities.equal(this.dateFormat, that.dateFormat)
1960	ObjectUtilities.equal(this.numberFormat, that.numberFormat)
1961	this.numberFormat != null
1962	this.dateFormat != null
7570	plot == null
7571	generator == null
7572	notify
7573	notify
7574	result == null
7575	notify
7576	notify
7577	generator == null
7578	notify
7579	notify
7580	annotation == null
7581	layer.equals(Layer.FOREGROUND)
7582	layer.equals(Layer.BACKGROUND)
7583	data != null
7584	orientation == PlotOrientation.HORIZONTAL
7585	orientation == PlotOrientation.VERTICAL
7586	paint == null
7587	stroke == null
7588	range.contains(value)
7589	orientation == PlotOrientation.HORIZONTAL
7590	orientation == PlotOrientation.VERTICAL
7591	paint == null
7592	stroke == null
7593	columnIndex < 0
7594	marker.getDrawAsLine()
7595	orientation == PlotOrientation.HORIZONTAL
7596	orientation == PlotOrientation.VERTICAL
7597	orientation == PlotOrientation.HORIZONTAL
7598	orientation == PlotOrientation.VERTICAL
7599	label != null
7600	marker instanceof ValueMarker
7601	range.contains(value)
7602	orientation == PlotOrientation.HORIZONTAL
7603	orientation == PlotOrientation.VERTICAL
7604	label != null
7605	marker instanceof IntervalMarker
7606	range.intersects(start, end)
7607	orientation == PlotOrientation.HORIZONTAL
7608	orientation == PlotOrientation.VERTICAL
7609	p instanceof GradientPaint
7610	t != null
7611	im.getOutlineStroke() != null
7611	im.getOutlinePaint() != null
7612	orientation == PlotOrientation.VERTICAL
7613	range.contains(start)
7614	range.contains(end)
7615	range.contains(start)
7616	range.contains(end)
7617	label != null
7618	orientation == PlotOrientation.HORIZONTAL
7619	orientation == PlotOrientation.VERTICAL
7620	orientation == PlotOrientation.HORIZONTAL
7621	orientation == PlotOrientation.VERTICAL
7622	p == null
7623	isSeriesVisible(series)
7623	isSeriesVisibleInLegend(series)
7624	this.legendItemToolTipGenerator != null
7625	this.legendItemURLGenerator != null
7626	obj == this
7627	obj instanceof AbstractCategoryItemRenderer
7628	ObjectUtilities.equal(this.itemLabelGeneratorList, that.itemLabelGeneratorList)
7629	ObjectUtilities.equal(this.baseItemLabelGenerator, that.baseItemLabelGenerator)
7630	ObjectUtilities.equal(this.toolTipGeneratorList, that.toolTipGeneratorList)
7631	ObjectUtilities.equal(this.baseToolTipGenerator, that.baseToolTipGenerator)
7632	ObjectUtilities.equal(this.urlGeneratorList, that.urlGeneratorList)
7633	ObjectUtilities.equal(this.baseURLGenerator, that.baseURLGenerator)
7634	ObjectUtilities.equal(this.legendItemLabelGenerator, that.legendItemLabelGenerator)
7635	ObjectUtilities.equal(this.legendItemToolTipGenerator, that.legendItemToolTipGenerator)
7636	ObjectUtilities.equal(this.legendItemURLGenerator, that.legendItemURLGenerator)
7637	ObjectUtilities.equal(this.backgroundAnnotations, that.backgroundAnnotations)
7638	ObjectUtilities.equal(this.foregroundAnnotations, that.foregroundAnnotations)
7639	cp != null
7640	generator != null
7641	negative
7642	layer.equals(Layer.FOREGROUND)
7643	layer.equals(Layer.BACKGROUND)
7644	this.itemLabelGeneratorList != null
7645	this.baseItemLabelGenerator != null
7646	this.baseItemLabelGenerator instanceof PublicCloneable
7647	this.toolTipGeneratorList != null
7648	this.baseToolTipGenerator != null
7649	this.baseToolTipGenerator instanceof PublicCloneable
7650	this.urlGeneratorList != null
7651	this.baseURLGenerator != null
7652	this.baseURLGenerator instanceof PublicCloneable
7653	this.legendItemLabelGenerator instanceof PublicCloneable
7654	this.legendItemToolTipGenerator instanceof PublicCloneable
7655	this.legendItemURLGenerator instanceof PublicCloneable
7656	result == null
7657	result == null
7658	this.plot == null
7659	dataset != null
7660	isSeriesVisibleInLegend(i)
7661	item != null
7662	generator == null
7663	tipster != null
7664	urlster != null
1355	group == null
1356	listeners[i] == DatasetChangeListener.class
3520	obj == this
3521	obj instanceof AbstractDialLayer
3522	listeners[i] == DialLayerChangeListener.class
371	x != null
372	x != null
373	y != null
374	y != null
1757	index >= 0
1757	index < this.size
1758	index < 0
1759	index >= this.objects.length
1760	this.objects[index] == object
1761	obj == null
1762	obj == this
1763	obj instanceof AbstractObjectList
1764	ObjectUtilities.equal(get(i), other.get(i))
1765	size > 0
1766	size > 1
1767	size > 2
1768	this.objects != null
1769	object instanceof Serializable
1769	object != null
1770	index != -1
