AbstractBlock.java,setMargin,margin,RectangleInsets,0,IllegalArgumentException,$ == null=0.93086963892,$ != null=0.0463549941778,$=0.0226489380002,obj == $=2.30648947763e-06,$ == this=2.01608895622e-06,$.hasNext()=6.8240069595e-07,$ == PlotOrientation.HORIZONTAL=3.34126582402e-07,$ == PlotOrientation.VERTICAL=3.03338936192e-07,i < $=1.5523340835e-07,$ >= 0=1.34103814275e-07,
AbstractBlock.java,setFrame,frame,BlockFrame,0,IllegalArgumentException,$ == null=0.962607562542,$ != null=0.0306789595634,$=0.00667621195316,obj == $=6.79882361965e-07,$ == this=5.94281175381e-07,$.hasNext()=2.0115076893e-07,$ == PlotOrientation.HORIZONTAL=9.84903607559e-08,$ == PlotOrientation.VERTICAL=8.94150105069e-08,i < $=4.57580036084e-08,$ >= 0=3.95296915201e-08,
AbstractBlock.java,setPadding,padding,RectangleInsets,0,IllegalArgumentException,$ == null=0.985744535923,$ != null=0.0105369668454,$=0.00369867519476,obj == $=3.62901801054e-07,$ == this=3.17210322009e-07,$.hasNext()=1.07368549607e-07,$ == PlotOrientation.HORIZONTAL=5.25713481636e-08,$ == PlotOrientation.VERTICAL=4.772718043e-08,i < $=2.44243167913e-08,$ >= 0=2.10998223338e-08,
AbstractBlock.java,setBounds,bounds,Rectangle2D,0,IllegalArgumentException,$ == null=0.915808022022,$ != null=0.0576343499124,$=0.026410266757,obj == $=2.68953044724e-06,$ == this=2.35090260503e-06,$.hasNext()=7.95727601144e-07,$ == PlotOrientation.HORIZONTAL=3.89615308904e-07,$ == PlotOrientation.VERTICAL=3.53714710855e-07,i < $=1.81013149358e-07,$ >= 0=1.56374568405e-07,
AbstractBlock.java,toContentConstraint,c,RectangleConstraint,0,IllegalArgumentException,$ == null=0.9226141572,$ != null=0.0521032214165,$=0.0251422822475,obj == $=2.56040289059e-06,$ == this=2.23803317567e-06,$.hasNext()=7.57523821449e-07,$ == PlotOrientation.HORIZONTAL=3.70909447156e-07,$ == PlotOrientation.VERTICAL=3.36732455253e-07,i < $=1.72322515368e-07,$ >= 0=1.48866845961e-07,
AbstractBlock.java,trimToContentWidth,r,Range,0,RET,$ == null=0.866002202034,$ != null=0.111735343933,$=0.0221433248371,obj == $=2.17263004743e-06,$ == this=1.89908314496e-06,$.hasNext()=6.42796862849e-07,$ == PlotOrientation.HORIZONTAL=3.14735217444e-07,$ == PlotOrientation.VERTICAL=2.8573435884e-07,i < $=1.46224280684e-07,$ >= 0=1.26320955474e-07,
AbstractBlock.java,trimToContentHeight,r,Range,0,RET,$ == null=0.866002202034,$ != null=0.111735343933,$=0.0221433248371,obj == $=2.17263004743e-06,$ == this=1.89908314496e-06,$.hasNext()=6.42796862849e-07,$ == PlotOrientation.HORIZONTAL=3.14735217444e-07,$ == PlotOrientation.VERTICAL=2.8573435884e-07,i < $=1.46224280684e-07,$ >= 0=1.26320955474e-07,
AbstractBlock.java,equals,THIS,AbstractBlock,0,RET,$=0.347912698984,$ == null=0.328255653381,$ != null=0.321765094995,obj == $=3.76965472242e-05,$ == this=3.29503272951e-05,$.hasNext()=1.11529434434e-05,$ == PlotOrientation.HORIZONTAL=5.46086084796e-06,$ == PlotOrientation.VERTICAL=4.95767699249e-06,i < $=2.5370864023e-06,$ >= 0=2.19175103666e-06,
AbstractBlock.java,equals,obj,Object,0,RET,$ == null=0.387042820454,$=0.308366775513,$ != null=0.302868843079,obj == $=3.14030367008e-05,$ == this=2.7449159461e-05,$.hasNext()=9.29093039304e-06,$ == PlotOrientation.HORIZONTAL=4.54915607406e-06,$ == PlotOrientation.VERTICAL=4.12998360844e-06,i < $=2.11351311918e-06,$ >= 0=1.82583073638e-06,
AbstractCategoryItemLabelGenerator.java,AbstractCategoryItemLabelGenerator,labelFormat,String,0,IllegalArgumentException,$ == null=0.967947304249,$ != null=0.0257599391043,$=0.00625785114244,obj == $=6.37277878468e-07,$ == this=5.57040834792e-07,$.hasNext()=1.88545783431e-07,$ == PlotOrientation.HORIZONTAL=9.23185226043e-08,$ == PlotOrientation.VERTICAL=8.38118694446e-08,i < $=4.28906865579e-08,$ >= 0=3.70525867766e-08,
AbstractCategoryItemLabelGenerator.java,AbstractCategoryItemLabelGenerator,formatter,NumberFormat,0,IllegalArgumentException,$ == null=0.931068599224,$ != null=0.0524741746485,$=0.016365872696,obj == $=1.6666438114e-06,$ == this=1.45680348851e-06,$.hasNext()=4.93095171805e-07,$ == PlotOrientation.HORIZONTAL=2.41436197257e-07,$ == PlotOrientation.VERTICAL=2.19189345785e-07,i < $=1.12169942668e-07,$ >= 0=9.69019353647e-08,
