Address.java,Address,dns,Dns,0,NullPointerException,$ == null=0.740605175495,$ != null=0.0124438544735,$.hasNext()=0.00202163960785,$.indexOf(codePoint) != -1=0.00165900099091,i < $.size()=0.0015552949626,$.isEmpty()=0.00151896371972,$ == 0x7f=0.00121035147458,$.sink.$.finished=0.0012094208505,$ >= 0x80=0.0011202149326,$.currentEditor != null=0.00100503850263,
Address.java,Address,socketFactory,SocketFactory,0,NullPointerException,$ == null=0.591331362724,$ != null=0.0207833331078,$.isEmpty()=0.00464678928256,$.indexOf(codePoint) != -1=0.0027558109723,$ == this=0.00233550649136,chunked.equalsIgnoreCase($.header("Transfer-Encoding"))=0.00211825990118,HttpHeaders.hasBody($)=0.00204303185456,$ == 0x7f=0.00201054732315,$ <= 0=0.00197726557963,$.indexOf('\0') != -1=0.00189721561037,
Address.java,Address,proxyAuthenticator,Authenticator,0,NullPointerException,$ == null=0.755829870701,$.hasNext()=0.00456064380705,$ != null=0.00328546948731,$.tls=0.00234180898406,$ == this=0.00201648147777,$.isEmpty()=0.00185239349958,i < $.valueCount=0.00151077692863,i < $.size()=0.00149626121856,HttpHeaders.hasBody($)=0.00146211346146,$.indexOf(codePoint) != -1=0.00141943572089,
Address.java,Address,protocols,List<Protocol>,0,NullPointerException,$ == null=0.753844082355,$.isEmpty()=0.014392436482,$ != null=0.00863620638847,$ == this=0.00214498722926,HttpHeaders.hasBody($)=0.0015552904224,$.indexOf(codePoint) != -1=0.0015098931035,$.hasNext()=0.00139513763133,i < $.size()=0.00122272653971,$ == 0x7f=0.00110156752635,$ <= 0=0.00108333246317,
Address.java,Address,connectionSpecs,List<ConnectionSpec>,0,NullPointerException,$ == null=0.783507287502,$ != null=0.0247113369405,$.indexOf(codePoint) != -1=0.00138507562224,$.isEmpty()=0.00116931484081,$ == 0x7f=0.00101050478406,$ >= 0x80=0.000935251126066,isEndToEnd($)=0.00082653661957,i < $.size()=0.000774668995291,$.hasNext()=0.000732426182367,$ < pinsSize=0.000717802380677,
Address.java,Address,proxySelector,ProxySelector,0,NullPointerException,$ == null=0.705489575863,$ != null=0.0104871559888,$.isEmpty()=0.00534045463428,HttpHeaders.hasBody($)=0.00200036470778,$.indexOf(codePoint) != -1=0.00194197602104,$ == this=0.0017684759805,$ == 0x7f=0.00141680066008,$ <= 0=0.00139334739652,$.hasNext()=0.00136087206192,$ >= 0x80=0.0013112896122,
Address.java,toString,THIS,Address,1,DEF,$.tls=0.0152034452185,$.journalRebuildRequired()=0.0093294037506,$ != null=0.00918102636933,$.chars[$.pos] != '='=0.00849070027471,$.fileSystem.exists($.journalFile)=0.00810585543513,$.shutdown=0.00782333500683,i < $.valueCount=0.00695827184245,$.initialized=0.00681112241,$.state != STATE_OPEN_REQUEST_BODY=0.00594316935167,$.chars[$.pos] == ','=0.00576255749911,
AndroidPlatform.java,connectSocket,THIS,AndroidPlatform,0,IOException,$.closed=0.0431426428258,$.tls=0.0128739196807,i < $.valueCount=0.00913121178746,other == $=0.00727144489065,$.journalRebuildRequired()=0.00686097983271,$.initialized=0.00644315872341,$.chars[$.pos] == ';'=0.00625758292153,$.fileSystem.exists($.journalFile)=0.0055381488055,$.chars[$.pos] == ','=0.00551916891709,$.pos >= $.length=0.00528002949432,
AndroidPlatform.java,trustManager,context,Object,0,RET,$ == null=0.410387158394,$ != null=0.0631739348173,$.isEmpty()=0.0116126630455,$ != -1=0.00824665371329,$ < 1=0.00287884171121,indexOfControlOrNonAscii($) != -1=0.00227696355432,$ > 0L=0.0019766939804,$.hasNext()=0.00193864060566,pos < $.length()=0.00168977747671,$.startsWith(".")=0.00161718402524,
AndroidPlatform.java,trustManager,x509TrustManager,X509TrustManager,0,RET,$ != null=0.0854778364301,$=0.0301485154778,pos < $.length()=0.0087166512385,$.isEmpty()=0.00685282098129,$.length() == 0=0.00683012837544,$.startsWith(".")=0.00635568145663,$ == null=0.00585891120136,$ < 1=0.00550137273967,$ < input.length()=0.0054366197437,chunked.equalsIgnoreCase($.header("Transfer-Encoding"))=0.00483002280816,
AndroidPlatform.java,configureTlsExtensions,hostname,String,0,DEF,$ != null=0.257259190083,$ == null=0.018498364836,$.isEmpty()=0.00891458615661,$ > 0=0.00574165536091,i < $.length=0.00562651176006,isEndToEnd($)=0.00397890713066,$=0.00315910577774,c < $=0.00293354876339,$ < certsSize=0.0028820510488,$ < pinsSize=0.0027911067009,
