No 1 is right.,Right result is: $ == null.,Probability is: 0.740605175495.
No 1 is right.,Right result is: $ != null.,Probability is: 0.0124438544735.
No 1 is right.,Right result is: $.hasNext().,Probability is: 0.00202163960785.
No 1 is right.,Right result is: $.indexOf(codePoint) != -1.,Probability is: 0.00165900099091.
No 1 is right.,Right result is: i < $.size().,Probability is: 0.0015552949626.
No 1 is right.,Right result is: $.isEmpty().,Probability is: 0.00151896371972.
No 1 is right.,Right result is: $ == 0x7f.,Probability is: 0.00121035147458.
No 1 is right.,Right result is: $.sink.$.finished.,Probability is: 0.0012094208505.
No 1 is right.,Right result is: $ >= 0x80.,Probability is: 0.0011202149326.
No 1 is right.,Right result is: $.currentEditor != null.,Probability is: 0.00100503850263.
No 3 is right.,Right result is: $ == null.,Probability is: 0.591331362724.
No 1 is right.,Right result is: $ != null.,Probability is: 0.0207833331078.
No 1 is right.,Right result is: $.isEmpty().,Probability is: 0.00464678928256.
No 1 is right.,Right result is: $.indexOf(codePoint) != -1.,Probability is: 0.0027558109723.
No 1 is right.,Right result is: $ == this.,Probability is: 0.00233550649136.
No 1 is right.,Right result is: chunked.equalsIgnoreCase($.header("Transfer-Encoding")).,Probability is: 0.00211825990118.
No 1 is right.,Right result is: HttpHeaders.hasBody($).,Probability is: 0.00204303185456.
No 3 is right.,Right result is: $ == 0x7f.,Probability is: 0.00201054732315.
No 4 is right.,Right result is: $ <= 0.,Probability is: 0.00197726557963.
No 1 is right.,Right result is: $.indexOf('\0') != -1.,Probability is: 0.00189721561037.
No 1 is right.,Right result is: $ == null.,Probability is: 0.755829870701.
No 1 is right.,Right result is: $.hasNext().,Probability is: 0.00456064380705.
No 3 is right.,Right result is: $ != null.,Probability is: 0.00328546948731.
No 1 is right.,Right result is: $.tls.,Probability is: 0.00234180898406.
No 4 is right.,Right result is: $ == this.,Probability is: 0.00201648147777.
No 1 is right.,Right result is: $.isEmpty().,Probability is: 0.00185239349958.
No 1 is right.,Right result is: i < $.valueCount.,Probability is: 0.00151077692863.
No 1 is right.,Right result is: i < $.size().,Probability is: 0.00149626121856.
No 1 is right.,Right result is: HttpHeaders.hasBody($).,Probability is: 0.00146211346146.
No 1 is right.,Right result is: $.indexOf(codePoint) != -1.,Probability is: 0.00141943572089.
No 1 is right.,Right result is: $ == null.,Probability is: 0.753844082355.
No 1 is right.,Right result is: $.isEmpty().,Probability is: 0.014392436482.
No 9 is right.,Right result is: $ != null.,Probability is: 0.00863620638847.
No 2 is right.,Right result is: $ == this.,Probability is: 0.00214498722926.
No 2 is right.,Right result is: HttpHeaders.hasBody($).,Probability is: 0.0015552904224.
No 1 is right.,Right result is: $.indexOf(codePoint) != -1.,Probability is: 0.0015098931035.
No 1 is right.,Right result is: $.hasNext().,Probability is: 0.00139513763133.
No 1 is right.,Right result is: i < $.size().,Probability is: 0.00122272653971.
No 3 is right.,Right result is: $ == 0x7f.,Probability is: 0.00110156752635.
No 4 is right.,Right result is: $ <= 0.,Probability is: 0.00108333246317.
No 1 is right.,Right result is: $ == null.,Probability is: 0.783507287502.
No 3 is right.,Right result is: $ != null.,Probability is: 0.0247113369405.
No 1 is right.,Right result is: $.indexOf(codePoint) != -1.,Probability is: 0.00138507562224.
No 2 is right.,Right result is: $.isEmpty().,Probability is: 0.00116931484081.
No 1 is right.,Right result is: $ == 0x7f.,Probability is: 0.00101050478406.
No 1 is right.,Right result is: $ >= 0x80.,Probability is: 0.000935251126066.
No 1 is right.,Right result is: isEndToEnd($).,Probability is: 0.00082653661957.
No 1 is right.,Right result is: i < $.size().,Probability is: 0.000774668995291.
No 1 is right.,Right result is: $.hasNext().,Probability is: 0.000732426182367.
No 2 is right.,Right result is: $ < pinsSize.,Probability is: 0.000717802380677.
No 4 is right.,Right result is: $ == null.,Probability is: 0.705489575863.
No 1 is right.,Right result is: $ != null.,Probability is: 0.0104871559888.
No 1 is right.,Right result is: $.isEmpty().,Probability is: 0.00534045463428.
No 1 is right.,Right result is: HttpHeaders.hasBody($).,Probability is: 0.00200036470778.
No 1 is right.,Right result is: $.indexOf(codePoint) != -1.,Probability is: 0.00194197602104.
No 1 is right.,Right result is: $ == this.,Probability is: 0.0017684759805.
No 6 is right.,Right result is: $ == 0x7f.,Probability is: 0.00141680066008.
No 1 is right.,Right result is: $ <= 0.,Probability is: 0.00139334739652.
No 1 is right.,Right result is: $.hasNext().,Probability is: 0.00136087206192.
No 6 is right.,Right result is: $ >= 0x80.,Probability is: 0.0013112896122.
No 1 is right.,Right result is: $.tls.,Probability is: 0.0152034452185.
No 4 is right.,Right result is: $.journalRebuildRequired().,Probability is: 0.0093294037506.
No 1 is right.,Right result is: $ != null.,Probability is: 0.00918102636933.
No 9 is right.,Right result is: $.chars[$.pos] != '='.,Probability is: 0.00849070027471.
No 8 is right.,Right result is: $.fileSystem.exists($.journalFile).,Probability is: 0.00810585543513.
No 3 is right.,Right result is: $.shutdown.,Probability is: 0.00782333500683.
No 4 is right.,Right result is: i < $.valueCount.,Probability is: 0.00695827184245.
No 1 is right.,Right result is: $.initialized.,Probability is: 0.00681112241.
No 6 is right.,Right result is: $.state != STATE_OPEN_REQUEST_BODY.,Probability is: 0.00594316935167.
No 1 is right.,Right result is: $.chars[$.pos] == ','.,Probability is: 0.00576255749911.
No 1 is right.,Right result is: $.closed.,Probability is: 0.0431426428258.
No 6 is right.,Right result is: $.tls.,Probability is: 0.0128739196807.
No 2 is right.,Right result is: i < $.valueCount.,Probability is: 0.00913121178746.
No 1 is right.,Right result is: other == $.,Probability is: 0.00727144489065.
No 1 is right.,Right result is: $.journalRebuildRequired().,Probability is: 0.00686097983271.
No 4 is right.,Right result is: $.initialized.,Probability is: 0.00644315872341.
No 4 is right.,Right result is: $.chars[$.pos] == ';'.,Probability is: 0.00625758292153.
No 1 is right.,Right result is: $.fileSystem.exists($.journalFile).,Probability is: 0.0055381488055.
No 1 is right.,Right result is: $.chars[$.pos] == ','.,Probability is: 0.00551916891709.
No 1 is right.,Right result is: $.pos >= $.length.,Probability is: 0.00528002949432.
No 1 is right.,Right result is: $ == null.,Probability is: 0.410387158394.
No 1 is right.,Right result is: $ != null.,Probability is: 0.0631739348173.
No 1 is right.,Right result is: $.isEmpty().,Probability is: 0.0116126630455.
No 1 is right.,Right result is: $ != -1.,Probability is: 0.00824665371329.
No 1 is right.,Right result is: $ < 1.,Probability is: 0.00287884171121.
No 3 is right.,Right result is: indexOfControlOrNonAscii($) != -1.,Probability is: 0.00227696355432.
No 4 is right.,Right result is: $ > 0L.,Probability is: 0.0019766939804.
No 1 is right.,Right result is: $.hasNext().,Probability is: 0.00193864060566.
No 1 is right.,Right result is: pos < $.length().,Probability is: 0.00168977747671.
No 1 is right.,Right result is: $.startsWith(".").,Probability is: 0.00161718402524.
No 1 is right.,Right result is: $ != null.,Probability is: 0.0854778364301.
No 1 is right.,Right result is: $.,Probability is: 0.0301485154778.
