row 0.0,1.0,1=0.994,0=0.006
row 1.0,1.0,1=0.992,0=0.008
row 4.0,1.0,1=0.994,0=0.006
row 5.0,1.0,1=0.992,0=0.008
row 8.0,1.0,1=0.996,0=0.004
row 10.0,1.0,1=0.996,0=0.004
row 12.0,1.0,1=0.996,0=0.004
row 14.0,1.0,1=0.953,0=0.047
row 15.0,1.0,1=0.458,0=0.542
row 16.0,1.0,1=0.953,0=0.047
row 18.0,1.0,1=0.991,0=0.009
row 22.0,1.0,1=0.996,0=0.004
row 24.0,1.0,1=0.988,0=0.012
row 25.0,1.0,1=0.979,0=0.021
row 26.0,1.0,1=0.978,0=0.022
row 29.0,1.0,1=0.996,0=0.004
row 31.0,1.0,1=0.985,0=0.015
row 32.0,1.0,1=0.979,0=0.021
row 33.0,1.0,1=0.978,0=0.022
row 36.0,1.0,1=0.597,0=0.403
row 37.0,1.0,1=0.817,0=0.183
row 38.0,1.0,1=0.597,0=0.403
row 40.0,1.0,1=0.992,0=0.008
row 42.0,1.0,1=0.817,0=0.183
row 43.0,1.0,1=0.996,0=0.004
row 45.0,1.0,1=0.992,0=0.008
row 47.0,1.0,1=0.817,0=0.183
row 48.0,1.0,1=0.970,0=0.030
row 49.0,1.0,1=0.937,0=0.063
row 50.0,1.0,1=0.970,0=0.030
row 51.0,1.0,1=0.937,0=0.063
row 52.0,1.0,1=0.972,0=0.028
row 54.0,1.0,1=0.970,0=0.030
row 55.0,1.0,1=0.937,0=0.063
row 56.0,1.0,1=0.992,0=0.008
row 58.0,1.0,1=0.970,0=0.030
row 59.0,1.0,1=0.937,0=0.063
row 60.0,1.0,1=0.992,0=0.008
row 62.0,1.0,1=0.970,0=0.030
row 63.0,1.0,1=0.937,0=0.063
row 64.0,1.0,1=0.965,0=0.035
row 66.0,1.0,1=0.964,0=0.036
row 68.0,1.0,1=0.963,0=0.037
row 70.0,1.0,1=0.966,0=0.034
row 72.0,1.0,1=0.980,0=0.020
row 74.0,1.0,1=0.939,0=0.061
row 76.0,1.0,1=0.973,0=0.027
row 78.0,1.0,1=0.973,0=0.027
row 81.0,1.0,1=0.910,0=0.090
row 83.0,1.0,1=0.910,0=0.090
row 86.0,1.0,1=0.976,0=0.024
row 87.0,1.0,1=0.932,0=0.068
row 90.0,1.0,1=0.996,0=0.004
row 91.0,1.0,1=0.826,0=0.174
row 94.0,1.0,1=0.999,0=0.001
row 95.0,1.0,1=0.933,0=0.067
row 98.0,1.0,1=0.996,0=0.004
row 99.0,1.0,1=0.826,0=0.174
row 102.0,1.0,1=0.778,0=0.222
row 104.0,1.0,1=0.996,0=0.004
row 105.0,1.0,1=0.826,0=0.174
row 108.0,1.0,1=0.996,0=0.004
row 117.0,1.0,1=0.934,0=0.066
row 125.0,1.0,1=0.841,0=0.159
row 127.0,1.0,1=0.895,0=0.105
row 129.0,1.0,1=0.888,0=0.112
row 136.0,1.0,1=0.758,0=0.242
row 137.0,1.0,1=0.757,0=0.243
row 139.0,1.0,1=0.855,0=0.145
row 146.0,1.0,1=0.827,0=0.173
row 147.0,1.0,1=0.773,0=0.227
row 149.0,1.0,1=0.985,0=0.015
row 151.0,1.0,1=0.922,0=0.078
row 154.0,1.0,1=0.638,0=0.362
row 160.0,1.0,1=0.865,0=0.135
row 168.0,1.0,1=0.977,0=0.023
row 169.0,1.0,1=0.899,0=0.101
row 171.0,1.0,1=0.976,0=0.024
row 172.0,1.0,1=0.889,0=0.111
row 176.0,1.0,1=0.961,0=0.039
row 179.0,1.0,1=0.961,0=0.039
row 182.0,1.0,1=0.621,0=0.379
row 183.0,1.0,1=0.723,0=0.277
row 184.0,1.0,1=0.694,0=0.306
row 190.0,1.0,1=0.980,0=0.020
row 192.0,1.0,1=0.990,0=0.010
row 194.0,1.0,1=0.985,0=0.015
row 196.0,1.0,1=0.936,0=0.064
row 197.0,1.0,1=0.458,0=0.542
row 198.0,1.0,1=0.936,0=0.064
row 200.0,1.0,1=0.522,0=0.478
row 201.0,1.0,1=0.404,0=0.596
row 202.0,1.0,1=0.992,0=0.008
row 203.0,1.0,1=0.994,0=0.006
row 206.0,1.0,1=0.992,0=0.008
row 207.0,1.0,1=0.994,0=0.006
row 210.0,1.0,1=0.978,0=0.022
row 212.0,1.0,1=0.847,0=0.153
row 215.0,1.0,1=0.601,0=0.399
row 216.0,1.0,1=0.722,0=0.278
row 217.0,1.0,1=0.601,0=0.399
row 219.0,1.0,1=0.989,0=0.011
row 221.0,1.0,1=0.722,0=0.278
row 222.0,1.0,1=0.993,0=0.007
row 224.0,1.0,1=0.989,0=0.011
row 226.0,1.0,1=0.722,0=0.278
row 227.0,1.0,1=0.954,0=0.046
row 229.0,1.0,1=0.937,0=0.063
row 230.0,1.0,1=0.826,0=0.174
row 233.0,1.0,1=0.982,0=0.018
row 234.0,1.0,1=0.835,0=0.165
row 237.0,1.0,1=0.982,0=0.018
row 238.0,1.0,1=0.835,0=0.165
row 241.0,1.0,1=0.857,0=0.143
row 243.0,1.0,1=0.982,0=0.018
row 244.0,1.0,1=0.835,0=0.165
row 247.0,1.0,1=0.982,0=0.018
row 251.0,1.0,1=0.546,0=0.454
row 254.0,1.0,1=0.636,0=0.364
row 261.0,1.0,1=0.922,0=0.078
row 269.0,1.0,1=0.829,0=0.171
row 271.0,1.0,1=0.842,0=0.158
row 273.0,1.0,1=0.923,0=0.077
row 274.0,1.0,1=0.842,0=0.158
row 275.0,1.0,1=0.837,0=0.163
row 276.0,1.0,1=0.420,0=0.580
row 277.0,1.0,1=0.837,0=0.163
row 279.0,1.0,1=0.792,0=0.208
row 280.0,1.0,1=0.483,0=0.517
row 281.0,1.0,1=0.982,0=0.018
row 282.0,1.0,1=0.983,0=0.017
row 285.0,1.0,1=0.982,0=0.018
row 286.0,1.0,1=0.983,0=0.017
row 289.0,1.0,1=0.963,0=0.037
row 290.0,1.0,1=0.948,0=0.052
row 292.0,1.0,1=0.874,0=0.126
row 294.0,1.0,1=0.932,0=0.068
row 298.0,1.0,1=0.990,0=0.010
row 300.0,1.0,1=0.995,0=0.005
row 302.0,1.0,1=0.997,0=0.003
row 304.0,1.0,1=0.995,0=0.005
row 307.0,1.0,1=0.997,0=0.003
row 309.0,1.0,1=0.954,0=0.046
row 311.0,1.0,1=0.938,0=0.062
row 312.0,1.0,1=0.564,0=0.436
row 313.0,1.0,1=0.938,0=0.062
row 315.0,1.0,1=0.987,0=0.013
row 317.0,1.0,1=0.995,0=0.005
row 319.0,1.0,1=0.980,0=0.020
row 321.0,1.0,1=0.976,0=0.024
row 323.0,1.0,1=0.864,0=0.136
row 324.0,1.0,1=0.987,0=0.013
row 325.0,1.0,1=0.901,0=0.099
row 326.0,1.0,1=0.969,0=0.031
row 328.0,1.0,1=0.956,0=0.044
row 329.0,1.0,1=0.932,0=0.068
row 332.0,1.0,1=0.811,0=0.189
row 334.0,1.0,1=0.921,0=0.079
row 335.0,1.0,1=0.876,0=0.124
row 338.0,1.0,1=0.975,0=0.025
row 344.0,1.0,1=0.992,0=0.008
row 346.0,1.0,1=0.992,0=0.008
row 349.0,1.0,1=0.976,0=0.024
row 350.0,1.0,1=0.988,0=0.012
row 352.0,1.0,1=0.989,0=0.011
row 354.0,1.0,1=0.972,0=0.028
row 356.0,1.0,1=0.991,0=0.009
row 358.0,1.0,1=0.986,0=0.014
row 360.0,1.0,1=0.979,0=0.021
row 362.0,1.0,1=0.959,0=0.041
row 364.0,1.0,1=0.984,0=0.016
row 366.0,1.0,1=0.984,0=0.016
row 370.0,1.0,1=0.906,0=0.094
row 372.0,1.0,1=0.979,0=0.021
row 373.0,1.0,1=0.896,0=0.104
row 374.0,1.0,1=0.972,0=0.028
row 379.0,1.0,1=0.813,0=0.187
row 380.0,1.0,1=0.972,0=0.028
row 388.0,1.0,1=0.813,0=0.187
row 391.0,1.0,1=0.803,0=0.197
row 396.0,1.0,1=0.889,0=0.111
row 402.0,1.0,1=0.424,0=0.576
row 404.0,1.0,1=0.895,0=0.105
row 406.0,1.0,1=0.682,0=0.318
row 408.0,1.0,1=0.767,0=0.233
row 415.0,1.0,1=0.748,0=0.252
row 422.0,1.0,1=0.302,0=0.698
row 428.0,1.0,1=0.651,0=0.349
row 432.0,1.0,1=0.376,0=0.624
row 437.0,1.0,1=0.713,0=0.287
row 439.0,1.0,1=0.402,0=0.598
row 442.0,1.0,1=0.976,0=0.024
row 446.0,1.0,1=0.935,0=0.065
row 449.0,1.0,1=0.630,0=0.370
row 450.0,1.0,1=0.831,0=0.169
row 454.0,1.0,1=0.704,0=0.296
row 455.0,1.0,1=0.831,0=0.169
row 459.0,1.0,1=0.737,0=0.263
row 461.0,1.0,1=0.967,0=0.033
row 464.0,1.0,1=0.908,0=0.092
row 466.0,1.0,1=0.883,0=0.117
row 467.0,1.0,1=0.940,0=0.060
row 468.0,1.0,1=0.810,0=0.190
row 469.0,1.0,1=0.846,0=0.154
row 472.0,1.0,1=0.921,0=0.079
row 478.0,1.0,1=0.458,0=0.542
row 484.0,1.0,1=0.419,0=0.581
row 487.0,1.0,1=0.995,0=0.005
row 489.0,1.0,1=0.989,0=0.011
row 490.0,1.0,1=0.552,0=0.448
row 491.0,1.0,1=0.945,0=0.055
row 497.0,1.0,1=0.898,0=0.102
row 498.0,1.0,1=0.789,0=0.211
row 500.0,1.0,1=0.904,0=0.096
row 502.0,1.0,1=0.836,0=0.164
row 504.0,1.0,1=0.731,0=0.269
row 505.0,1.0,1=0.608,0=0.392
row 507.0,1.0,1=0.529,0=0.471
row 510.0,1.0,1=0.851,0=0.149
row 513.0,1.0,1=0.427,0=0.573
row 516.0,1.0,1=0.491,0=0.509
row 517.0,1.0,1=0.716,0=0.284
row 522.0,1.0,1=0.382,0=0.618
row 524.0,1.0,1=0.800,0=0.200
row 530.0,1.0,1=0.798,0=0.202
row 531.0,1.0,1=0.722,0=0.278
row 542.0,1.0,1=0.976,0=0.024
row 544.0,1.0,1=0.905,0=0.095
row 553.0,1.0,1=0.890,0=0.110
row 555.0,1.0,1=0.800,0=0.200
row 557.0,1.0,1=0.989,0=0.011
row 560.0,1.0,1=0.970,0=0.030
row 563.0,1.0,1=0.988,0=0.012
row 565.0,1.0,1=0.923,0=0.077
row 567.0,1.0,1=0.366,0=0.634
row 576.0,1.0,1=0.816,0=0.184
row 577.0,1.0,1=0.740,0=0.260
row 580.0,1.0,1=0.824,0=0.176
row 581.0,1.0,1=0.741,0=0.259
row 586.0,1.0,1=0.647,0=0.353
row 589.0,1.0,1=0.987,0=0.013
row 590.0,1.0,1=0.395,0=0.605
row 591.0,1.0,1=0.435,0=0.565
row 593.0,1.0,1=0.988,0=0.012
row 596.0,1.0,1=0.952,0=0.048
row 602.0,1.0,1=0.772,0=0.228
row 607.0,1.0,1=0.919,0=0.081
row 610.0,1.0,1=0.827,0=0.173
row 615.0,1.0,1=0.824,0=0.176
row 617.0,1.0,1=0.949,0=0.051
row 620.0,1.0,1=0.989,0=0.011
row 623.0,1.0,1=0.974,0=0.026
row 626.0,1.0,1=0.980,0=0.020
row 627.0,1.0,1=0.804,0=0.196
row 628.0,1.0,1=0.861,0=0.139
row 630.0,1.0,1=0.891,0=0.109
row 632.0,1.0,1=0.967,0=0.033
row 635.0,1.0,1=0.992,0=0.008
row 637.0,1.0,1=0.981,0=0.019
row 638.0,1.0,1=0.541,0=0.459
row 640.0,1.0,1=0.975,0=0.025
row 643.0,1.0,1=0.926,0=0.074
row 644.0,1.0,1=0.946,0=0.054
row 646.0,1.0,1=0.814,0=0.186
row 648.0,1.0,1=0.904,0=0.096
row 651.0,1.0,1=0.931,0=0.069
row 657.0,1.0,1=0.522,0=0.478
row 663.0,1.0,1=0.450,0=0.550
row 666.0,1.0,1=0.992,0=0.008
row 668.0,1.0,1=0.980,0=0.020
row 669.0,1.0,1=0.455,0=0.545
row 670.0,1.0,1=0.935,0=0.065
row 676.0,1.0,1=0.925,0=0.075
row 677.0,1.0,1=0.855,0=0.145
row 679.0,1.0,1=0.882,0=0.118
row 681.0,1.0,1=0.903,0=0.097
row 684.0,1.0,1=0.922,0=0.078
row 686.0,1.0,1=0.846,0=0.154
row 687.0,1.0,1=0.781,0=0.219
row 689.0,1.0,1=0.914,0=0.086
row 690.0,1.0,1=0.840,0=0.160
row 692.0,1.0,1=0.962,0=0.038
row 693.0,1.0,1=0.968,0=0.032
row 696.0,1.0,1=0.224,0=0.776
row 702.0,1.0,1=0.905,0=0.095
row 706.0,1.0,1=0.523,0=0.477
row 720.0,1.0,1=0.494,0=0.506
row 729.0,1.0,1=0.859,0=0.141
row 730.0,1.0,1=0.922,0=0.078
row 734.0,1.0,1=0.782,0=0.218
row 736.0,1.0,1=0.105,0=0.895
row 743.0,1.0,1=0.890,0=0.110
row 747.0,1.0,1=0.479,0=0.521
row 763.0,1.0,1=0.369,0=0.631
row 771.0,1.0,1=0.388,0=0.612
row 775.0,1.0,1=0.240,0=0.760
row 784.0,1.0,1=0.859,0=0.141
row 785.0,1.0,1=0.922,0=0.078
row 792.0,1.0,1=0.508,0=0.492
row 794.0,1.0,1=0.820,0=0.180
row 799.0,1.0,1=0.652,0=0.348
row 800.0,1.0,1=0.525,0=0.475
row 802.0,1.0,1=0.297,0=0.703
row 803.0,1.0,1=0.326,0=0.674
row 807.0,1.0,1=0.795,0=0.205
row 810.0,1.0,1=0.351,0=0.649
row 811.0,1.0,1=0.803,0=0.197
row 817.0,1.0,1=0.893,0=0.107
row 827.0,1.0,1=0.834,0=0.166
row 828.0,1.0,1=0.817,0=0.183
row 833.0,1.0,1=0.686,0=0.314
row 834.0,1.0,1=0.924,0=0.076
row 838.0,1.0,1=0.859,0=0.141
row 840.0,1.0,1=0.840,0=0.160
row 841.0,1.0,1=0.885,0=0.115
row 842.0,1.0,1=0.783,0=0.217
row 843.0,1.0,1=0.943,0=0.057
row 845.0,1.0,1=0.942,0=0.058
row 847.0,1.0,1=0.995,0=0.005
row 848.0,1.0,1=0.957,0=0.043
row 849.0,1.0,1=0.995,0=0.005
row 850.0,1.0,1=0.957,0=0.043
row 851.0,1.0,1=0.981,0=0.019
row 852.0,1.0,1=0.986,0=0.014
row 858.0,1.0,1=0.981,0=0.019
row 859.0,1.0,1=0.986,0=0.014
row 865.0,1.0,1=0.981,0=0.019
row 866.0,1.0,1=0.986,0=0.014
row 869.0,1.0,1=0.879,0=0.121
row 870.0,1.0,1=0.828,0=0.172
row 872.0,1.0,1=0.981,0=0.019
row 873.0,1.0,1=0.986,0=0.014
row 876.0,1.0,1=0.879,0=0.121
row 877.0,1.0,1=0.828,0=0.172
row 882.0,1.0,1=0.929,0=0.071
row 883.0,1.0,1=0.830,0=0.170
row 888.0,1.0,1=0.778,0=0.222
row 890.0,1.0,1=0.969,0=0.031
row 898.0,1.0,1=0.597,0=0.403
row 900.0,1.0,1=0.566,0=0.434
row 902.0,1.0,1=0.876,0=0.124
row 910.0,1.0,1=0.728,0=0.272
row 911.0,1.0,1=0.677,0=0.323
row 913.0,1.0,1=0.911,0=0.089
row 916.0,1.0,1=0.931,0=0.069
row 922.0,1.0,1=0.453,0=0.547
